Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
50.0,Male,Married,IT,,3.0,,74,29.0,2,4,1.0,4.0,2,22,1.0,1.0,34,17,4,3,2,18.0,3,0
33.85395381,Male,Divorced,HR,Analyst,4.0,7415.0,50,5.0,1,7,1.0,2.0,4,35,1.0,6.0,46,5,4,4,4,34.0,1,0
20.0,Male,Single,Sales,Executive,5.0,14813.0,96,15.0,8,3,3.0,4.0,1,16,1.0,6.0,52,7,1,1,3,29.0,3,1
,Female,Divorced,Finance,Assistant,5.0,9620.0,76,23.0,10,2,1.0,2.0,2,21,0.0,3.0,57,0,2,1,3,12.0,4,0
22.0,Female,Married,Marketing,Executive,2.0,16777.0,57,8.565512392,12,5,3.0,1.0,3,23,,6.0,39,3,4,2,4,23.0,3,0
54.0,Male,Single,Marketing,Assistant,2.0,,53,17.67253476,5,5,,4.0,3,26,1.0,7.0,37,9,1,2,4,16.0,2,0
44.0,Female,Married,Marketing,Executive,1.0,3233.0,89,10.0,7,1,2.0,4.0,4,22,1.0,7.0,31,17,1,2,4,13.0,2,0
32.0,,Divorced,HR,Analyst,1.0,19939.0,64,,14,5,2.0,5.0,3,70,1.0,1.0,49,10,4,1,3,,1,0
53.0,Female,Divorced,Sales,Executive,3.0,,30,2.0,2,4,4.0,3.0,1,0,,9.0,36,1,4,2,3,49.0,3,1
27.0,Male,Single,IT,Assistant,4.0,6733.0,97,,6,4,1.0,5.0,4,49,1.0,3.0,31,17,3,2,4,11.0,3,0
40.0,Female,Single,Finance,,1.0,6275.0,66,,9,2,4.0,,4,62,0.0,6.0,50,18,4,3,1,,3,0
23.0,Female,Single,Marketing,Executive,1.0,10473.0,85,16.0,5,9,4.0,3.0,1,90,,2.0,59,18,3,4,3,16.0,2,0
44.0,Male,Single,Sales,Assistant,4.0,,17,4.0,1,0,1.0,,3,97,0.0,3.0,55,19,4,4,3,32.0,2,0
34.0,Female,Divorced,Sales,Executive,2.0,3845.0,24,28.0,13,0,4.0,1.0,1,36,1.0,7.0,39,6,1,4,2,31.0,1,0
23.0,Male,Single,HR,Analyst,4.0,9653.0,65,17.0,1,6,3.0,5.0,2,14,0.0,7.0,56,1,2,4,2,17.0,3,0
31.0,Male,Single,HR,Analyst,5.0,,83,9.105864469,9,9,4.0,3.0,2,55,1.0,7.0,45,2,4,2,2,29.0,1,0
51.0,Male,Married,HR,Analyst,4.0,12902.0,46,12.0,5,6,2.0,4.0,1,81,1.0,9.0,40,7,1,3,1,30.0,4,0
51.0,,Single,Finance,Analyst,4.0,17332.0,19,5.0,12,8,3.0,4.0,1,55,0.0,5.0,53,7,1,2,1,36.0,4,0
47.0,Female,Married,,Manager,4.0,5890.0,57,3.0,11,8,2.0,1.0,2,67,1.0,7.0,51,2,4,3,1,23.0,4,0
50.0,Male,Married,HR,Executive,4.0,8513.0,26,7.781110178,2,9,3.0,3.0,4,86,0.0,9.0,49,2,3,4,3,20.0,2,1
33.0,Male,Divorced,Finance,Executive,4.0,11644.0,45,4.0,10,8,2.0,4.0,4,42,1.0,7.0,40,18,2,2,4,,3,0
,Male,Single,HR,Executive,3.0,4629.0,95,14.0,7,9,3.0,3.0,4,85,0.0,4.0,34,4,2,2,1,1.0,3,0
,Female,Married,Marketing,,4.0,17744.0,73,14.0,3,2,4.0,1.0,4,85,1.0,6.538746995,32,11,4,2,2,25.0,3,0
25.0,Male,,Marketing,Manager,1.0,,66,2.0,2,3,,4.0,4,11,0.0,2.0,46,9,4,1,1,32.0,2,1
,Female,Single,Marketing,Manager,4.0,,61,28.0,11,0,1.0,2.0,2,98,1.0,4.0,45,2,1,2,3,37.0,3,0
48.0,,Married,HR,Executive,1.0,,63,21.0,11,1,4.0,2.0,4,89,,8.0,37,10,4,3,4,47.0,3,0
21.0,Male,Married,Marketing,Assistant,5.0,4068.0,70,15.0,11,7,2.0,3.0,3,13,0.0,1.0,48,0,2,1,2,34.0,1,0
42.0,Female,Married,Sales,Assistant,5.0,13946.0,45,,10,8,4.0,3.0,1,60,1.0,8.0,36,19,2,2,2,9.0,2,0
38.0,Female,Single,IT,Executive,2.0,12452.0,73,14.0,10,8,2.0,4.0,2,83,1.0,7.0,30,11,4,4,4,32.0,3,0
50.6860676,Female,Divorced,IT,Analyst,2.0,13962.0,84,23.0,4,8,1.0,2.0,4,99,1.0,7.0,35,1,2,1,4,14.0,3,0
24.0,Male,Single,Marketing,Analyst,5.0,18472.0,90,,9,0,3.0,4.0,3,75,1.0,6.0,46,1,4,1,4,42.0,2,0
38.0,,Single,Finance,Executive,2.0,8898.0,57,26.0,10,7,3.0,3.0,2,60,0.0,5.0,43,8,3,4,2,4.0,2,0
53.0,Male,Divorced,,Analyst,1.0,10810.0,95,3.0,13,4,,5.0,2,8,0.0,6.0,54,4,4,1,3,20.0,4,1
29.0,Male,Married,Marketing,Analyst,1.0,10996.0,88,2.0,7,2,2.0,2.0,4,96,0.0,1.0,49,4,3,2,4,18.0,3,0
44.0,Male,Single,HR,Assistant,3.0,19833.0,19,2.76997299,1,5,4.0,,1,87,1.0,1.0,39,6,1,4,1,47.0,1,0
21.0,Male,Married,Finance,Executive,2.0,6639.0,18,11.0,3,3,1.0,5.0,1,72,,3.0,45,0,1,3,3,35.0,4,1
30.0,Male,Married,Marketing,Manager,2.0,4913.0,29,12.0,12,0,4.0,5.0,1,23,1.0,5.0,46,15,2,3,4,21.0,4,0
50.0,Female,Divorced,Sales,Assistant,3.0,13989.0,16,15.0,5,2,1.0,2.0,4,93,0.0,9.0,57,6,3,2,2,45.0,3,0
34.0,Female,Divorced,IT,Executive,4.0,7633.0,63,12.89574419,7,1,1.0,2.0,1,68,0.0,5.0,56,12,4,1,3,46.0,2,0
28.0,Male,Divorced,Sales,,1.0,8328.0,70,11.0,14,0,3.0,2.0,2,7,1.0,3.0,44,12,2,3,4,35.0,3,1
,Female,Married,Sales,Assistant,4.0,8409.0,22,20.0,5,9,1.0,3.0,4,78,1.0,5.0,47,3,2,4,1,22.0,2,1
38.0,Male,Married,Sales,Analyst,3.0,7811.0,30,20.0,9,8,2.0,2.0,3,44,1.0,2.0,45,17,4,4,4,32.0,2,0
28.0,Male,Single,Finance,Analyst,2.0,8327.0,78,14.0,7,2,1.0,1.0,1,52,1.0,6.0,30,10,3,2,3,4.0,3,0
,Male,Married,,Assistant,4.0,6461.0,98,5.0,12,0,1.0,2.0,2,19,,7.417672449,36,17,4,4,1,,2,0
40.0,Female,Divorced,Finance,Executive,2.0,10533.0,38,19.0,14,2,2.0,5.0,4,57,1.0,1.0,30,13,1,4,4,37.0,1,0
28.0,Male,Divorced,IT,Manager,3.0,4459.0,69,,1,0,3.0,1.0,2,78,0.0,7.0,46,11,2,4,1,26.0,4,1
47.0,Male,Divorced,HR,Executive,5.0,,68,17.0,6,0,3.0,5.0,1,85,1.0,8.0,31,8,2,4,4,,4,1
26.0,Male,Divorced,Marketing,Manager,2.0,,95,29.0,2,8,,5.0,4,95,1.0,2.0,46,12,1,3,2,35.0,2,0
35.0,Male,Married,Marketing,Manager,4.0,19840.0,83,15.0,6,0,1.0,4.0,4,69,0.0,3.414973538,56,7,4,4,1,16.0,3,0
35.0,Female,Divorced,HR,Executive,4.0,11168.0,92,20.0,3,4,4.0,2.0,1,32,0.0,3.0,55,9,4,3,1,42.0,4,0
52.0,Male,Single,Marketing,Executive,3.0,8530.0,92,17.0,14,4,2.0,2.0,4,60,0.0,1.881205756,59,4,3,1,2,17.0,2,1
23.0,Female,Married,Sales,Executive,4.0,3644.0,74,29.0,12,0,3.0,2.0,2,10,,9.0,53,11,2,4,3,40.0,3,0
23.0,,Divorced,IT,Manager,1.0,13521.0,45,12.0,2,8,4.0,5.0,1,91,1.0,8.239631069,50,0,3,1,2,9.0,3,0
58.0,Male,Single,,Analyst,2.0,15701.0,34,8.0,3,4,1.0,1.0,2,2,1.0,3.0,33,18,4,1,4,15.0,4,0
36.0,Female,Married,HR,Manager,3.0,16748.0,68,21.0,10,6,4.0,2.0,1,56,0.0,4.0,32,17,2,4,4,,2,0
56.0,Female,Married,Marketing,Manager,1.0,8747.0,23,2.0,4,8,1.0,1.0,4,66,1.0,9.0,40,14,2,3,1,30.0,1,0
58.0,Female,Single,,Assistant,1.0,5761.0,48,28.0,13,3,2.0,1.0,2,28,0.0,5.0,30,3,2,3,2,,4,0
48.0,Female,Married,Sales,Analyst,2.0,,90,21.0,1,4,4.0,2.0,1,10,1.0,2.0,33,8,3,3,3,44.0,4,0
,Male,Single,Sales,Manager,2.0,19853.0,94,21.0,4,8,1.0,4.0,3,54,0.0,2.0,58,8,2,3,1,20.0,1,0
57.0,Female,Divorced,HR,Manager,5.0,,79,17.0,6,1,,2.0,3,95,1.0,1.0,33,8,4,3,4,2.0,3,0
58.0,Female,Married,Finance,Assistant,1.0,,30,21.0,5,4,2.0,2.0,2,49,0.0,5.0,58,8,4,1,4,6.0,4,1
56.0,Female,Divorced,Marketing,Manager,2.0,9847.0,84,24.0,13,5,3.0,5.0,2,14,1.0,5.0,48,12,2,2,4,36.0,4,0
54.80530109,Female,Divorced,Sales,Analyst,1.0,,98,10.0,14,2,2.0,3.0,1,3,,3.0,40,18,2,4,3,41.0,3,1
,Male,Married,Sales,Manager,1.0,,20,18.0,5,9,3.0,2.0,1,31,1.0,5.0,35,18,4,3,1,3.0,3,1
46.0,Male,Divorced,HR,,3.0,3429.0,49,24.0,9,8,4.0,5.0,4,51,0.0,8.0,43,6,1,2,2,,4,0
47.0,Male,Single,Sales,Analyst,3.0,,17,29.0,9,9,,3.0,1,61,1.0,3.0,33,5,3,2,3,36.0,1,0
41.0,Female,Single,Marketing,Executive,1.0,,35,24.0,9,7,2.0,5.0,4,97,1.0,4.0,53,1,1,2,3,30.0,3,0
33.0,Female,Single,HR,Assistant,3.0,7527.0,21,,7,3,1.0,5.0,2,73,0.0,3.0,39,9,3,3,3,29.0,1,1
56.0,Male,Divorced,HR,Assistant,1.0,3672.0,44,4.0,10,7,1.0,1.0,2,40,1.0,7.37773464,45,6,3,4,4,35.0,2,0
41.0,Female,Divorced,Marketing,Executive,3.0,5854.0,36,5.0,9,9,3.0,1.0,1,81,0.0,7.0,57,11,1,1,1,39.0,3,0
24.0,Male,Divorced,Marketing,Executive,2.0,8521.0,28,26.0,13,9,1.0,5.0,1,16,0.0,2.0,59,10,4,1,1,8.0,4,0
21.0,Female,Divorced,IT,Analyst,1.0,11232.0,69,24.0,12,0,1.0,1.0,2,4,1.0,7.0,55,6,3,2,2,34.0,2,0
46.0,,Single,HR,Assistant,1.0,7479.0,81,3.0,8,7,1.0,,4,71,1.0,1.0,44,6,1,4,4,5.0,4,0
40.48774359,Female,Married,Marketing,Executive,3.0,7278.0,19,1.0,8,5,3.0,,3,68,0.0,2.0,57,3,4,1,2,34.0,4,0
57.0,Female,,Marketing,,2.0,4895.0,83,7.0,5,6,4.0,4.0,2,80,0.0,2.0,57,2,4,3,2,9.0,4,0
34.0,Female,Single,IT,Executive,1.0,16910.0,73,20.0,9,3,4.0,,3,38,1.0,8.0,31,2,3,1,3,17.0,2,0
40.0,Female,Married,Finance,Analyst,1.0,,23,26.0,8,5,,1.0,2,90,1.0,3.50185967,42,15,3,3,3,1.0,4,0
29.0,Male,Married,,Manager,5.0,,62,12.0,7,9,2.0,4.0,4,31,0.0,5.0,45,9,4,2,2,37.0,1,0
42.0,Male,Single,Marketing,Executive,1.0,11526.0,51,21.0,8,9,3.0,5.0,4,6,,4.0,38,0,1,2,4,37.0,1,0
58.0,Male,Divorced,Sales,Executive,5.0,15425.0,82,6.0,9,3,3.0,5.0,3,85,1.0,5.0,50,1,4,4,4,28.0,4,0
24.0,Female,Married,IT,Executive,5.0,8593.0,34,20.0,7,9,1.0,5.0,2,75,1.0,7.0,59,8,1,2,1,48.0,1,0
20.0,Male,Married,,Assistant,2.0,,99,,9,9,4.0,2.0,1,49,1.0,9.0,31,2,2,3,4,27.0,4,1
32.0,,Single,Finance,Assistant,4.0,5676.0,64,11.0,8,1,2.0,5.0,3,87,0.0,2.0,39,8,3,2,3,25.0,1,0
40.0,Female,Divorced,IT,Executive,5.0,,38,8.0,2,0,3.0,,4,48,0.0,8.0,58,14,2,3,3,23.0,4,0
45.0,Female,Married,Finance,Analyst,2.0,17744.0,85,11.52439912,3,3,2.0,1.0,3,42,0.0,6.0,39,19,1,1,3,6.0,3,0
40.0,Female,Single,Marketing,Manager,3.0,12725.0,63,13.0,6,6,4.0,3.0,3,16,1.0,8.0,36,6,1,4,4,,1,0
,,,Finance,Assistant,5.0,6861.0,22,9.0,6,7,,,2,70,0.0,8.0,30,3,4,1,4,11.0,4,0
56.0,,Divorced,HR,Manager,4.0,7954.0,89,19.0,7,2,3.0,5.0,2,80,0.0,9.0,33,15,4,4,1,35.0,2,1
55.0,Female,Single,Marketing,Assistant,5.0,4112.0,20,,12,4,,5.0,2,90,1.0,7.0,51,13,1,4,3,,4,1
36.0,,Divorced,,Manager,5.0,13458.0,54,5.0,1,9,4.0,3.0,3,44,1.0,2.0,47,19,3,4,2,22.0,4,0
54.0,Male,Single,Sales,Executive,4.0,19733.0,95,10.0,11,9,2.0,3.0,1,73,1.0,1.0,37,3,2,1,1,26.0,2,1
30.0,Male,Divorced,Marketing,Assistant,1.0,,68,13.0,12,6,2.0,5.0,2,69,1.0,4.0,47,5,2,3,4,36.0,1,0
40.0,Female,Single,Sales,Executive,4.0,15692.0,91,25.0,5,3,3.0,2.0,3,47,1.0,1.0,37,13,2,2,4,28.0,4,0
45.0,Male,Divorced,Finance,Assistant,2.0,3042.0,31,5.0,14,6,4.0,5.0,1,31,1.0,9.0,47,2,2,4,4,34.0,2,0
23.0,Female,Married,IT,,2.0,14737.0,65,23.0,11,1,3.0,2.0,2,7,1.0,4.0,37,16,2,4,4,48.0,1,0
37.47985951,,Married,HR,Assistant,4.0,8974.0,44,17.0,9,5,3.0,2.0,4,61,0.0,1.0,47,15,2,2,4,,3,1
59.0,Male,Single,Finance,,4.0,18518.0,46,22.3262632,3,3,4.0,5.0,4,82,0.0,4.0,32,14,1,3,1,34.0,4,0
54.27858977,Male,Divorced,HR,Executive,4.0,18491.0,64,29.0,12,6,1.0,4.0,3,82,0.0,3.0,52,6,2,4,4,46.0,2,0
48.0,Male,Divorced,HR,Manager,4.0,18918.0,85,10.0,2,0,1.0,4.0,2,21,0.0,1.0,33,10,1,1,4,10.0,4,0
48.0,Female,Married,Finance,Analyst,5.0,16356.0,30,17.0,12,0,3.0,3.0,3,34,0.0,3.0,45,16,3,2,2,13.0,3,0
57.0,,Married,,Assistant,3.0,,97,6.0,12,4,1.0,1.0,1,27,1.0,8.0,59,3,4,2,2,35.0,4,0
32.0,Female,Divorced,Sales,,2.0,,69,14.34089316,6,1,2.0,4.0,1,5,1.0,6.0,52,9,2,4,1,21.0,3,0
,,Married,Marketing,Executive,3.0,15817.0,71,9.0,8,2,3.0,5.0,1,11,0.0,4.0,39,11,3,1,1,48.0,4,1
,Female,Single,Finance,Analyst,4.0,14560.0,92,24.0,9,0,1.0,1.0,2,96,0.0,2.0,52,6,1,1,3,45.0,1,0
20.23012521,Female,Married,IT,Executive,3.0,18860.0,59,29.0,3,7,1.0,5.0,3,49,1.0,2.0,39,17,4,3,1,3.0,2,0
21.0,Male,Married,Marketing,Assistant,4.0,,66,5.0,8,1,3.0,5.0,2,97,1.0,8.43321737,38,15,4,4,1,37.0,2,0
48.6812399,Male,Divorced,HR,Manager,2.0,19566.0,85,23.0,4,1,1.0,3.0,3,60,1.0,1.302650192,34,8,3,1,4,7.0,2,0
52.0,Female,Single,Sales,Analyst,1.0,19258.0,61,22.0,2,7,,5.0,3,49,,8.0,38,4,1,4,4,10.0,2,0
29.0,Male,Divorced,Finance,Executive,2.0,5101.0,47,25.0,4,6,2.0,5.0,1,75,0.0,2.0,38,18,2,3,4,26.0,4,0
59.0,Female,Single,,Analyst,2.0,,38,20.0,4,2,4.0,3.0,1,36,1.0,5.0,50,17,4,4,2,26.0,2,0
40.24790498,Male,Single,Sales,Assistant,1.0,19543.0,49,8.0,8,4,2.0,5.0,4,99,1.0,2.59653398,37,2,2,1,3,38.0,2,1
47.0,Female,Married,IT,Manager,3.0,14649.0,78,28.0,10,2,,1.0,3,66,1.0,1.0,31,9,1,4,1,9.0,1,0
30.2009488,,Married,,,5.0,8568.0,99,27.45014092,8,4,3.0,3.0,4,99,1.0,4.0,35,7,3,2,4,24.0,1,1
53.0,Female,Divorced,Marketing,Assistant,4.0,11929.0,94,25.0,13,8,1.0,,2,60,1.0,2.0,47,15,4,2,4,43.0,4,0
27.30813343,Female,Divorced,HR,Assistant,4.0,,74,16.0,7,2,1.0,5.0,4,91,1.0,8.623806297,30,19,3,2,3,6.0,2,0
41.0,Male,Divorced,Finance,Manager,2.0,,95,,4,2,4.0,1.0,1,10,0.0,1.0,54,5,2,3,4,15.0,4,0
27.0,Male,Single,Sales,Executive,1.0,6380.0,43,28.0,2,0,2.0,2.0,1,79,0.0,9.0,49,1,3,3,3,42.0,1,0
34.0,Male,Divorced,Marketing,Manager,2.0,4307.0,32,23.0,1,4,1.0,3.0,2,53,1.0,6.0,45,3,3,2,3,6.0,1,0
36.0,Female,Single,,Manager,2.0,13386.0,72,2.0,11,2,2.0,3.0,3,66,0.0,3.0,31,14,4,4,4,28.0,3,1
,Male,Single,,Analyst,3.0,14667.0,62,9.0,2,2,3.0,5.0,2,85,0.0,8.0,55,4,3,2,3,41.0,1,0
43.0,Female,Single,Marketing,Analyst,4.0,12961.0,25,28.0,2,3,3.0,5.0,1,57,1.0,8.0,54,14,4,1,1,8.0,2,1
,Male,Single,Sales,Executive,5.0,5594.0,17,21.15807156,3,1,3.0,3.0,3,48,1.0,3.0,39,7,2,2,4,1.0,3,0
24.0,Male,Single,HR,Assistant,1.0,,56,10.70212455,10,1,4.0,5.0,3,78,1.0,8.0,49,6,1,2,1,19.0,4,0
51.0,,Married,,Analyst,5.0,11766000.0,32,19.0,5,7,2.0,5.0,3,98,,1.0,54,9,3,1,1,10.0,4,0
42.0,Male,Single,HR,Manager,4.0,18398.0,55,13.0,5,3,2.0,1.0,1,42,0.0,3.0,41,15,2,4,1,7.0,4,0
56.0,Female,Married,HR,Assistant,3.0,11477.0,79,26.0,7,1,3.0,1.0,2,67,0.0,7.0,44,2,3,1,4,,2,0
27.0,Female,Married,IT,Manager,5.0,15182.0,57,2.0,12,4,1.0,4.0,3,92,0.0,8.0,41,1,3,4,1,37.0,2,0
32.0,Male,Married,IT,Assistant,1.0,,57,19.0,14,8,1.0,,4,83,0.0,3.0,45,2,2,4,3,39.0,4,0
27.0,Female,Divorced,HR,,2.0,19478.0,45,6.0,1,8,4.0,,1,28,0.0,2.0,56,1,4,3,4,11.0,2,0
42.0,Male,Divorced,Finance,Manager,4.0,,42,16.57202905,4,7,4.0,5.0,4,13,1.0,5.0,32,11,4,2,3,,1,0
20.0,Male,Single,HR,Manager,3.0,,65,15.50348762,11,8,1.0,5.0,4,0,1.0,8.0,36,8,1,4,4,13.0,1,0
43.0,Female,Single,,Assistant,2.0,,41,14.0,2,8,2.0,3.0,4,17,1.0,2.0,53,2,2,4,4,32.0,4,0
54.0,Male,,Sales,Executive,3.0,18609.0,23,13.0,8,8,2.0,5.0,1,80,0.0,5.0,57,9,1,2,1,20.0,4,0
43.0,Female,Single,Sales,Assistant,1.0,6670.0,52,28.0,2,9,4.0,1.0,3,14,1.0,2.0,34,15,2,3,2,25.0,1,0
39.0,Female,Married,IT,Manager,4.0,,71,,14,3,,1.0,2,96,1.0,7.0,46,18,2,2,2,7.0,3,0
40.0,Female,Divorced,Sales,Manager,5.0,,61,1.0,2,0,1.0,1.0,2,23,0.0,3.425707701,55,10,4,1,3,23.0,4,0
59.0,Female,Married,Finance,Manager,5.0,17255.0,82,22.0,10,5,3.0,5.0,4,33,0.0,5.0,50,17,2,3,1,22.0,4,0
50.0,Female,Single,HR,Analyst,2.0,,65,28.48521332,4,1,4.0,4.0,3,10,0.0,5.0,34,15,1,1,4,4.0,1,0
55.0,Male,Divorced,HR,Manager,4.0,,72,4.0,5,3,1.0,2.0,2,61,1.0,4.0,46,18,4,3,2,23.0,4,0
30.0,Male,,IT,Manager,4.0,18849.0,62,16.0,2,4,3.0,2.0,3,46,1.0,6.0,41,7,3,4,4,35.0,2,0
34.0,Female,Divorced,Marketing,Executive,3.0,4833.0,73,18.0,4,3,3.0,5.0,4,24,1.0,1.0,44,6,1,1,3,19.0,2,0
38.0,Male,Divorced,HR,Analyst,2.0,8384.0,90,10.0,7,5,2.0,4.0,1,31,1.0,8.608680909,54,17,3,4,4,16.0,1,0
26.0,Female,Single,Sales,Manager,4.0,19282.0,61,20.0,5,9,1.0,1.0,1,64,1.0,1.0,33,7,1,4,4,5.0,3,0
47.0,Female,Single,,Executive,3.0,5250.0,29,28.0,8,9,4.0,1.0,1,28,1.0,1.0,31,11,3,2,2,42.0,2,0
24.0,Male,Single,Marketing,Manager,4.0,9119.0,92,8.0,10,5,3.0,3.0,4,40,1.0,7.0,53,18,1,1,3,9.0,2,0
24.85895853,Male,Married,Marketing,Executive,2.0,19952.0,86,,9,8,,1.0,2,74,1.0,6.0,46,3,3,2,2,33.0,2,0
51.0,Female,Divorced,HR,Analyst,4.0,7275.0,93,17.0,1,0,2.0,2.0,2,75,1.0,8.0,48,0,4,3,1,28.0,1,0
27.0,Female,Divorced,Marketing,Assistant,4.0,10963.0,75,29.0,3,9,1.0,4.0,2,0,,3.0,32,17,1,1,2,38.0,2,0
29.0,Female,Single,IT,Analyst,5.0,,54,5.0,8,7,2.0,1.0,4,15,0.0,5.0,34,5,2,4,2,34.0,2,0
57.0,Female,Divorced,Sales,Executive,1.0,11663.0,57,27.0,1,4,1.0,1.0,3,15,0.0,8.0,43,11,1,4,1,19.0,3,0
51.56928734,Female,Divorced,Finance,Manager,2.0,10837.0,62,22.0,10,0,2.0,1.0,2,2,,4.0,48,11,3,1,2,8.0,3,0
47.0,Male,Single,Sales,Analyst,5.0,18404.0,86,4.0,2,4,1.0,2.0,2,99,1.0,7.0,43,8,2,1,4,29.0,1,0
36.0,Female,Single,IT,Manager,1.0,13181.0,83,4.0,14,5,,2.0,2,93,0.0,4.0,48,1,1,1,1,6.0,1,0
,Female,Divorced,IT,Analyst,4.0,19992.0,71,,1,6,3.0,5.0,2,2,1.0,9.726780192,30,0,3,4,4,37.0,1,0
27.0,Male,Married,Sales,Executive,4.0,,82,29.0,14,2,4.0,3.0,2,98,1.0,1.0,53,18,4,2,2,6.0,1,0
59.0,Female,Single,HR,Assistant,5.0,12274.0,26,26.0,1,8,4.0,1.0,3,51,1.0,7.0,34,1,1,1,2,42.0,4,0
44.0,Female,Married,,Analyst,3.0,7319.0,88,26.0,12,2,4.0,,1,30,0.0,9.0,53,19,4,1,2,37.0,1,0
28.0,Male,Married,Marketing,Manager,2.0,9953.0,82,22.0,13,0,1.0,4.0,2,34,0.0,5.0,46,4,3,3,3,12.0,4,0
21.0,Female,Married,Finance,Manager,1.0,,65,28.0,9,2,3.0,1.0,1,49,,4.0,54,3,1,2,2,10.0,3,0
34.56776643,Male,Married,Finance,,4.0,,88,9.0,12,6,1.0,1.0,2,75,0.0,9.0,46,16,3,1,1,1.0,3,0
22.0,Female,Single,IT,Executive,2.0,8971.0,43,13.0,10,9,1.0,5.0,2,93,0.0,7.0,48,11,3,4,3,48.0,3,0
55.0,Male,Divorced,Marketing,Executive,4.0,11575.0,43,7.0,1,0,,3.0,3,88,1.0,2.0,42,12,1,2,4,11.0,2,0
23.0,Male,Divorced,Sales,Assistant,4.0,9038.0,97,25.0,4,3,2.0,4.0,1,22,1.0,9.0,41,7,3,4,2,1.0,4,0
33.0,Male,Single,Finance,Manager,4.0,,27,28.0,7,6,3.0,4.0,4,80,,5.0,53,4,1,3,2,32.0,1,0
44.0,Female,Single,Marketing,Assistant,2.0,10477.0,71,,12,2,2.0,4.0,3,64,,3.0,45,8,1,1,1,16.0,3,0
29.0,Female,Married,Marketing,Manager,5.0,9374.0,60,29.0,5,6,1.0,2.0,4,80,,7.0,30,16,4,1,3,35.0,3,0
40.0,,Married,HR,Analyst,2.0,5283.0,34,18.0,10,3,3.0,3.0,4,58,0.0,2.0,52,18,1,3,2,41.0,2,0
55.0,,Single,IT,,2.0,16891.0,96,22.0,13,6,4.0,1.0,1,34,1.0,9.0,34,14,4,2,2,3.0,1,0
31.0,Female,Divorced,Marketing,Analyst,3.0,11413.0,73,23.0,5,8,3.0,3.0,3,62,1.0,1.0,43,6,2,4,3,33.0,3,0
46.0,Female,Married,Sales,Manager,3.0,3751.0,50,,7,9,1.0,3.0,3,17,1.0,5.0,42,6,3,3,1,20.0,4,0
,Female,Single,Finance,Analyst,5.0,17491.0,15,17.0,6,4,2.0,3.0,1,9,0.0,9.0,32,3,3,2,3,16.0,2,1
21.0,Female,Single,HR,Manager,3.0,18968.0,17,29.0,6,2,3.0,3.0,4,46,1.0,5.0,56,6,4,1,1,16.0,3,0
32.0,Female,Single,Sales,Assistant,5.0,,58,22.0,13,0,3.0,3.0,3,32,0.0,7.0,53,2,3,3,2,44.0,3,0
51.0,Male,Married,Finance,Executive,4.0,9718.0,69,28.0,8,2,3.0,2.0,4,5,1.0,2.0,57,17,2,4,3,26.0,2,0
50.0,Female,Single,IT,Analyst,4.0,13328.0,74,8.0,10,3,4.0,5.0,3,20,1.0,6.0,52,17,1,3,4,29.0,4,0
35.0,Male,Divorced,Sales,,2.0,13525.0,17,11.0,9,1,4.0,3.0,2,46,0.0,1.450000003,31,16,4,1,3,49.0,2,1
,Female,Single,Finance,Manager,4.0,13063.0,99,6.558789209,13,3,2.0,,4,29,0.0,1.0,58,1,2,2,4,42.0,1,1
51.0,Male,Married,HR,Assistant,3.0,8327.0,77,8.0,11,4,3.0,3.0,1,89,1.0,8.0,57,18,1,4,4,42.0,3,0
53.0,Male,Divorced,,Assistant,1.0,14642.0,96,22.0,2,7,4.0,4.0,4,70,1.0,1.0,41,13,1,4,3,48.0,4,0
30.0,Female,Divorced,,Executive,2.0,4664.0,45,22.0,12,4,1.0,4.0,4,20,0.0,5.0,38,4,1,3,4,49.0,2,0
29.0,Male,Single,HR,,5.0,19785.0,75,8.0,12,1,2.0,4.0,3,44,0.0,3.0,35,2,2,2,4,,3,1
34.0,Male,Single,Sales,Executive,4.0,,63,19.0,10,0,1.0,4.0,4,96,1.0,5.0,39,8,2,2,4,10.0,2,1
,Male,Divorced,IT,Executive,2.0,18535.0,58,15.0,4,8,3.0,,1,49,,3.0,47,17,4,2,4,41.0,4,0
59.0,Male,Single,HR,Assistant,2.0,,66,19.0,10,3,1.0,4.0,3,2,1.0,6.0,45,15,2,3,2,38.0,4,0
28.0,Male,Divorced,HR,Analyst,4.0,10829.0,86,4.0,14,8,4.0,3.0,2,32,0.0,8.0,47,16,4,4,4,5.0,1,0
44.0,Female,Single,,Executive,5.0,8874.0,63,23.0,14,0,2.0,5.0,4,87,1.0,1.0,43,13,4,4,1,7.0,2,1
59.0,Male,Divorced,Marketing,,2.0,4106.0,60,27.0,10,6,2.0,4.0,2,70,0.0,7.0,46,0,4,1,2,7.0,4,0
33.0,Female,Single,IT,,2.0,17116.0,68,7.0,1,5,2.0,3.0,2,57,1.0,3.0,57,19,3,4,4,15.0,3,0
